epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
0,OV_1,MAIN_1,9470,39.458,9470,0,0,0,0,0.0,400.0,40.0,400.9469999997623,39.9987,39.4583,0.947,0.0,0.947,0.947,0.0,0,0.0,0,0,0.0,0.0,9470.0,189.0,0.0,0.0,1.0,2,0.39458333333333334,1,0,0,0
0,OV_2,MAIN_2,7285,30.354,7285,0,0,0,0,0.0,300.0,30.0,300.7284999998172,30.0008,30.3542,0.7285,0.0,0.7285,0.7285,0.0,0,0.0,0,0,0.0,0.0,7285.0,145.0,0.0,0.0,1.0,2,0.30354166666666665,0,0,0,0
0,OV_3,MAIN_3,7245,30.188,7245,0,0,0,0,0.0,300.0,30.0,300.72449999981814,30.0004,30.1875,0.7245,0.0,0.7245,0.7245,0.0,0,0.0,0,0,0.0,0.0,7245.0,144.0,0.0,0.0,1.0,2,0.301875,0,0,0,0
1,OV_1,MAIN_1,9564,39.85,9086,0,478,0,478,5.0,400.9469999997623,39.9987,401.8555999995342,39.9955,37.8583,0.9086,0.0003,0.9086,1.8556,0.0003,0,0.0,478,478,100.0,1530.0,9086.0,191.0,0.0,0.0,0.9500209117524049,2,0.3985,1,0,0,0
1,OV_2,MAIN_2,7261,30.254,7261,0,0,0,0,0.0,300.7284999998172,30.0008,301.45459999963487,30.0029,30.2542,0.7261,0.0002,0.7261,1.4546,0.0002,0,0.0,0,0,0.0,0.0,7261.0,145.0,0.0,0.0,1.0,2,0.30254166666666665,0,0,0,0
1,OV_3,MAIN_3,7175,29.896,7175,0,0,0,0,0.0,300.72449999981814,30.0004,301.441999999638,30.0016,29.8958,0.7175,0.0003,0.7175,1.442,0.0003,0,0.0,0,0,0.0,0.0,7175.0,143.0,0.0,0.0,1.0,2,0.2989583333333333,0,0,0,0
2,OV_1,MAIN_1,9572,39.883,9094,0,478,0,478,4.99,401.8555999995342,39.9955,402.7649999993059,39.9924,37.8917,0.9094,0.0018,0.9094,2.765,0.0021,0,0.0,478,478,100.0,1530.0,9094.0,191.0,0.0,0.0,0.950062682824906,2,0.3988333333333333,1,0,0,0
2,OV_2,MAIN_2,7143,29.762,7143,0,0,0,0,0.0,301.45459999963487,30.0029,302.1688999994556,30.0037,29.7625,0.7143,0.0015,0.7143,2.1689,0.0017,0,0.0,0,0,0.0,0.0,7143.0,142.0,0.0,0.0,1.0,2,0.297625,0,0,0,0
2,OV_3,MAIN_3,7285,30.354,7285,0,0,0,0,0.0,301.441999999638,30.0016,302.1704999994552,30.0039,30.3542,0.7285,0.0012,0.7285,2.1705,0.0015,0,0.0,0,0,0.0,0.0,7285.0,145.0,0.0,0.0,1.0,2,0.30354166666666665,0,0,0,0
3,OV_1,MAIN_1,9610,40.042,9130,0,480,0,480,4.99,402.7649999993059,39.9924,403.6779999990768,39.9896,38.0417,0.913,0.0,0.913,3.678,0.0021,0,0.0,480,480,100.0,1536.0,9130.0,192.0,0.0,0.0,0.9500520291363164,2,0.40041666666666664,1,0,0,0
3,OV_2,MAIN_2,7092,29.55,7092,0,0,0,0,0.0,302.1688999994556,30.0037,302.87809999927754,30.0041,29.55,0.7092,0.0001,0.7092,2.8781,0.0018,0,0.0,0,0,0.0,0.0,7092.0,141.0,0.0,0.0,1.0,2,0.2955,0,0,0,0
3,OV_3,MAIN_3,7298,30.408,7298,0,0,0,0,0.0,302.1704999994552,30.0039,302.900299999272,30.0063,30.4083,0.7298,0.0003,0.7298,2.9003,0.0018,0,0.0,0,0,0.0,0.0,7298.0,145.0,0.0,0.0,1.0,2,0.3040833333333333,0,0,0,0
4,OV_1,MAIN_1,9585,39.938,9106,0,479,0,479,5.0,403.6779999990768,39.9896,404.58859999884817,39.9867,37.9417,0.9106,0.0002,0.9106,4.5886,0.0023,0,0.0,479,479,100.0,1534.0,9106.0,191.0,0.0,0.0,0.9500260824204486,2,0.399375,1,0,0,0
