epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
0,OV_1,MAIN_1,9470,39.458,9470,0,0,0,0,0.0,400.0,40.0,400.9469999997623,39.9987,39.4583,0.947,0.0,0.947,0.947,0.0,0,0.0,0,0,0.0,0.0,0.0,189.4,0.0,0.0,1.0,1,0.39458333333333334,,,,
0,OV_2,MAIN_2,7285,30.354,7285,0,0,0,0,0.0,300.0,30.0,300.7284999998172,30.0008,30.3542,0.7285,0.0,0.7285,0.7285,0.0,0,0.0,0,0,0.0,0.0,0.0,145.70000000000002,0.0,0.0,1.0,1,0.30354166666666665,,,,
0,OV_3,MAIN_3,7245,30.188,7245,0,0,0,0,0.0,300.0,30.0,300.72449999981814,30.0004,30.1875,0.7245,0.0,0.7245,0.7245,0.0,0,0.0,0,0,0.0,0.0,0.0,144.9,0.0,0.0,1.0,1,0.301875,,,,
1,OV_1,MAIN_1,9712,40.467,9669,43,0,0,43,0.44,400.9469999997623,39.9987,401.9138999995196,39.9997,40.2875,0.9669,0.0,0.9669,1.9139,0.0,0,0.0,0,0,0.0,0.0,0.0,194.24,0.0,0.0,0.9955724876441515,1,0.4046666666666667,,,,
1,OV_2,MAIN_2,7160,29.833,7160,0,0,0,0,0.0,300.7284999998172,30.0008,301.4444999996374,30.0007,29.8333,0.716,0.0,0.716,1.4445,0.0,0,0.0,0,0,0.0,0.0,0.0,143.20000000000002,0.0,0.0,1.0,1,0.29833333333333334,,,,
1,OV_3,MAIN_3,7128,29.7,7096,17,10,5,32,0.45,300.72449999981814,30.0004,301.43409999964,29.9996,29.5667,0.7096,0.0,0.7096,1.4341,0.0,0,0.0,0,0,0.0,0.0,0.0,142.56,0.0,0.0,0.9955106621773289,1,0.297,,,,
2,OV_1,MAIN_1,9503,39.596,9501,2,0,0,2,0.02,401.9138999995196,39.9997,402.8639999992811,39.9987,39.5875,0.9501,0.0,0.9501,2.864,0.0,0,0.0,0,0,0.0,0.0,0.0,190.06,0.0,0.0,0.9997895401452173,1,0.39595833333333336,,,,
2,OV_2,MAIN_2,7276,30.317,7276,0,0,0,0,0.0,301.4444999996374,30.0007,302.1720999994548,30.0014,30.3167,0.7276,0.0,0.7276,2.1721,0.0,0,0.0,0,0,0.0,0.0,0.0,145.52,0.0,0.0,1.0,1,0.30316666666666664,,,,
2,OV_3,MAIN_3,7221,30.087,7219,0,2,0,2,0.03,301.43409999964,29.9996,302.1559999994588,29.9998,30.0792,0.7219,0.0,0.7219,2.156,0.0,0,0.0,0,0,0.0,0.0,0.0,144.42000000000002,0.0,0.0,0.9997230300512394,1,0.300875,,,,
3,OV_1,MAIN_1,9575,39.896,9552,0,0,23,23,0.24,402.8639999992811,39.9987,403.8191999990413,39.9985,39.8,0.9552,0.0,0.9552,3.8192,0.0,0,0.0,0,0,0.0,0.0,0.0,191.5,0.0,0.0,0.997597911227154,1,0.39895833333333336,,,,
